areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-10,10_14,2740,21161,630.9
E92000001,England,nation,2021-07-10,15_19,3171,26104,844.7
E92000001,England,nation,2021-07-10,20_24,3314,30893,885.7
E92000001,England,nation,2021-07-10,25_29,2895,24615,647.5
E92000001,England,nation,2021-07-10,30_34,2477,18815,494.1
E92000001,England,nation,2021-07-10,35_39,1982,14953,400.5
E92000001,England,nation,2021-07-10,40_44,1661,12423,363.9
E92000001,England,nation,2021-07-10,45_49,1408,10272,276.4
E92000001,England,nation,2021-07-10,50_54,1136,8415,215.4
E92000001,England,nation,2021-07-10,55_59,858,6086,165.8
E92000001,England,nation,2021-07-10,60+,1414,9538,70.8
E92000001,England,nation,2021-07-10,60_64,519,3685,118.4
E92000001,England,nation,2021-07-10,65_69,331,2108,75.4
E92000001,England,nation,2021-07-10,70_74,254,1628,58.6
E92000001,England,nation,2021-07-10,75_79,136,941,48.5
E92000001,England,nation,2021-07-10,80_84,93,586,40.7
E92000001,England,nation,2021-07-10,85_89,54,364,41.4
E92000001,England,nation,2021-07-10,90+,27,226,43.7
E92000001,England,nation,2021-07-10,unassigned,5,76,
E92000001,England,nation,2021-07-09,00_04,538,3524,106.8
E92000001,England,nation,2021-07-09,00_59,26839,183640,428.9
E92000001,England,nation,2021-07-09,05_09,1474,10343,292.3
E92000001,England,nation,2021-07-09,10_14,2950,20503,611.3
E92000001,England,nation,2021-07-09,15_19,3738,25828,835.8
E92000001,England,nation,2021-07-09,20_24,4183,31195,894.4
E92000001,England,nation,2021-07-09,25_29,3467,24049,632.6
E92000001,England,nation,2021-07-09,30_34,2679,18006,472.9
E92000001,England,nation,2021-07-09,35_39,2289,14418,386.2
E92000001,England,nation,2021-07-09,40_44,1808,11965,350.4
E92000001,England,nation,2021-07-09,45_49,1509,9867,265.5
E92000001,England,nation,2021-07-09,50_54,1270,8091,207.1
E92000001,England,nation,2021-07-09,55_59,934,5851,159.4
E92000001,England,nation,2021-07-09,60+,1551,9076,67.4
E92000001,England,nation,2021-07-09,60_64,590,3531,113.5
E92000001,England,nation,2021-07-09,65_69,344,1975,70.6
E92000001,England,nation,2021-07-09,70_74,270,1541,55.4
E92000001,England,nation,2021-07-09,75_79,151,919,47.4
E92000001,England,nation,2021-07-09,80_84,94,556,38.6
E92000001,England,nation,2021-07-09,85_89,61,333,37.9
E92000001,England,nation,2021-07-09,90+,41,221,42.7
E92000001,England,nation,2021-07-09,unassigned,4,74,
E92000001,England,nation,2021-07-08,00_04,535,3417,103.6
E92000001,England,nation,2021-07-08,00_59,27743,177433,414.4
E92000001,England,nation,2021-07-08,05_09,1491,10185,287.9
E92000001,England,nation,2021-07-08,10_14,2817,19843,591.6
E92000001,England,nation,2021-07-08,15_19,3776,25006,809.2
E92000001,England,nation,2021-07-08,20_24,4553,31059,890.5
E92000001,England,nation,2021-07-08,25_29,3817,23068,606.8
E92000001,England,nation,2021-07-08,30_34,2924,17100,449.1
E92000001,England,nation,2021-07-08,35_39,2217,13573,363.5
E92000001,England,nation,2021-07-08,40_44,1892,11454,335.5
E92000001,England,nation,2021-07-08,45_49,1498,9441,254.1
E92000001,England,nation,2021-07-08,50_54,1252,7695,196.9
E92000001,England,nation,2021-07-08,55_59,971,5592,152.3
E92000001,England,nation,2021-07-08,60+,1415,8577,63.7
E92000001,England,nation,2021-07-08,60_64,557,3336,107.2
E92000001,England,nation,2021-07-08,65_69,311,1861,66.5
E92000001,England,nation,2021-07-08,70_74,245,1446,52.0
E92000001,England,nation,2021-07-08,75_79,142,885,45.6
E92000001,England,nation,2021-07-08,80_84,89,528,36.7
E92000001,England,nation,2021-07-08,85_89,42,314,35.7
E92000001,England,nation,2021-07-08,90+,29,207,40.0
E92000001,England,nation,2021-07-08,unassigned,19,78,
E92000001,England,nation,2021-07-07,00_04,579,3320,100.6
E92000001,England,nation,2021-07-07,00_59,31951,172246,402.2
E92000001,England,nation,2021-07-07,05_09,1617,10031,283.5
E92000001,England,nation,2021-07-07,10_14,3255,19362,577.2
E92000001,England,nation,2021-07-07,15_19,4393,24523,793.6
E92000001,England,nation,2021-07-07,20_24,5550,31184,894.1
E92000001,England,nation,2021-07-07,25_29,4617,22007,578.9
E92000001,England,nation,2021-07-07,30_34,3333,16150,424.1
